"WHOREGION","MMWR_WEEKSTARTDATE","TOT_INF_ALL","TOT_INF_A","TOT_INF_B"
"EUR",2023-05-07,982,706,706
"EUR",2023-05-14,595,404,404
"EUR",2023-05-21,459,305,305
"EUR",2023-05-28,306,183,183
"EUR",2023-06-04,281,138,138
"EUR",2023-06-11,226,99,99
"EUR",2023-06-18,157,69,69
"EUR",2023-06-25,99,35,35
"EUR",2023-07-02,100,23,23
"EUR",2023-07-09,167,19,19
"EUR",2023-07-16,155,40,40
"EUR",2023-07-23,178,35,35
"EUR",2023-07-30,139,26,26
"EUR",2023-08-06,158,27,27
"EUR",2023-08-13,172,21,21
"EUR",2023-08-20,159,17,17
"EUR",2023-08-27,177,20,20
"EUR",2023-09-03,203,31,31
"EUR",2023-09-10,173,25,25
"EUR",2023-09-17,211,24,24
"EUR",2023-09-24,242,27,27
"EUR",2023-10-01,440,66,66
"EUR",2023-10-08,527,85,85
"EUR",2023-10-15,581,87,87
"EUR",2023-10-22,802,107,107
"EUR",2023-10-29,1120,128,128
"EUR",2023-11-05,1456,143,143
"EUR",2023-11-12,1928,150,150
"EUR",2023-11-19,2779,141,141
"EUR",2023-11-26,4300,143,143
"EUR",2023-12-03,7797,197,197
"EUR",2023-12-10,13743,333,333
"EUR",2023-12-17,19852,289,289
"EUR",2023-12-24,22179,287,287
"EUR",2023-12-31,23388,407,407
"EUR",2024-01-07,20385,324,324
"EUR",2024-01-14,23602,423,423
"EUR",2024-01-21,28506,654,654
"EUR",2024-01-28,25115,647,647
"EUR",2024-02-04,11993,381,381
