"WHOREGION","MMWR_WEEKSTARTDATE","TOT_INF_ALL"
"AFR",2023-05-07,155
"AFR",2023-05-14,212
"AFR",2023-05-21,257
"AFR",2023-05-28,261
"AFR",2023-06-04,175
"AFR",2023-06-11,139
"AFR",2023-06-18,161
"AFR",2023-06-25,132
"AFR",2023-07-02,171
"AFR",2023-07-09,146
"AFR",2023-07-16,170
"AFR",2023-07-23,185
"AFR",2023-07-30,133
"AFR",2023-08-06,196
"AFR",2023-08-13,136
"AFR",2023-08-20,200
"AFR",2023-08-27,132
"AFR",2023-09-03,161
"AFR",2023-09-10,216
"AFR",2023-09-17,193
"AFR",2023-09-24,147
"AFR",2023-10-01,152
"AFR",2023-10-08,184
"AFR",2023-10-15,180
"AFR",2023-10-22,166
"AFR",2023-10-29,182
"AFR",2023-11-05,165
"AFR",2023-11-12,182
"AFR",2023-11-19,206
"AFR",2023-11-26,222
"AFR",2023-12-03,158
"AFR",2023-12-10,185
"AFR",2023-12-17,170
"AFR",2023-12-24,180
"AFR",2023-12-31,141
"AFR",2024-01-07,222
"AFR",2024-01-14,181
"AFR",2024-01-21,126
"AFR",2024-01-28,93
"AFR",2024-02-04,72
"AFR",2024-02-11,46
"AMR",2023-05-07,4085
"AMR",2023-05-14,4139
"AMR",2023-05-21,3822
"AMR",2023-05-28,3552
"AMR",2023-06-04,3094
"AMR",2023-06-11,2788
"AMR",2023-06-18,2466
"AMR",2023-06-25,2206
"AMR",2023-07-02,2066
"AMR",2023-07-09,1478
"AMR",2023-07-16,1248
"AMR",2023-07-23,1125
"AMR",2023-07-30,1055
"AMR",2023-08-06,1019
"AMR",2023-08-13,1084
"AMR",2023-08-20,988
"AMR",2023-08-27,1037
"AMR",2023-09-03,1027
"AMR",2023-09-10,1158
"AMR",2023-09-17,1326
"AMR",2023-09-24,1306
"AMR",2023-10-01,1570
"AMR",2023-10-08,1800
"AMR",2023-10-15,2273
"AMR",2023-10-22,2632
"AMR",2023-10-29,3847
"AMR",2023-11-05,6641
"AMR",2023-11-12,8762
"AMR",2023-11-19,10032
"AMR",2023-11-26,14156
"AMR",2023-12-03,19590
"AMR",2023-12-10,26924
"AMR",2023-12-17,35727
"AMR",2023-12-24,34287
"AMR",2023-12-31,27673
"AMR",2024-01-07,24704
"AMR",2024-01-14,22398
"AMR",2024-01-21,24589
"AMR",2024-01-28,24844
"AMR",2024-02-04,20656
"AMR",2024-02-11,3588
"EMR",2023-05-07,127
"EMR",2023-05-14,155
"EMR",2023-05-21,164
"EMR",2023-05-28,120
"EMR",2023-06-04,131
"EMR",2023-06-11,104
"EMR",2023-06-18,108
"EMR",2023-06-25,66
"EMR",2023-07-02,273
"EMR",2023-07-09,174
"EMR",2023-07-16,86
"EMR",2023-07-23,103
"EMR",2023-07-30,158
"EMR",2023-08-06,200
"EMR",2023-08-13,209
"EMR",2023-08-20,265
"EMR",2023-08-27,332
"EMR",2023-09-03,515
"EMR",2023-09-10,760
"EMR",2023-09-17,864
"EMR",2023-09-24,975
"EMR",2023-10-01,1394
"EMR",2023-10-08,1774
"EMR",2023-10-15,2011
"EMR",2023-10-22,2363
"EMR",2023-10-29,1828
"EMR",2023-11-05,1889
"EMR",2023-11-12,1548
"EMR",2023-11-19,1820
"EMR",2023-11-26,1575
"EMR",2023-12-03,1389
"EMR",2023-12-10,1495
"EMR",2023-12-17,1298
"EMR",2023-12-24,993
"EMR",2023-12-31,1036
"EMR",2024-01-07,1060
"EMR",2024-01-14,850
"EMR",2024-01-21,808
"EMR",2024-01-28,888
"EMR",2024-02-04,543
"EMR",2024-02-11,77
"EUR",2023-05-07,982
"EUR",2023-05-14,595
"EUR",2023-05-21,459
"EUR",2023-05-28,306
"EUR",2023-06-04,281
"EUR",2023-06-11,226
"EUR",2023-06-18,157
"EUR",2023-06-25,99
"EUR",2023-07-02,100
"EUR",2023-07-09,167
"EUR",2023-07-16,155
"EUR",2023-07-23,178
"EUR",2023-07-30,139
"EUR",2023-08-06,158
"EUR",2023-08-13,172
"EUR",2023-08-20,159
"EUR",2023-08-27,177
"EUR",2023-09-03,203
"EUR",2023-09-10,173
"EUR",2023-09-17,211
"EUR",2023-09-24,242
"EUR",2023-10-01,440
"EUR",2023-10-08,527
"EUR",2023-10-15,581
"EUR",2023-10-22,802
"EUR",2023-10-29,1120
"EUR",2023-11-05,1456
"EUR",2023-11-12,1928
"EUR",2023-11-19,2779
"EUR",2023-11-26,4300
"EUR",2023-12-03,7797
"EUR",2023-12-10,13743
"EUR",2023-12-17,19852
"EUR",2023-12-24,22179
"EUR",2023-12-31,23388
"EUR",2024-01-07,20385
"EUR",2024-01-14,23602
"EUR",2024-01-21,28506
"EUR",2024-01-28,25115
"EUR",2024-02-04,11993
"SEAR",2023-05-07,107
"SEAR",2023-05-14,114
"SEAR",2023-05-21,98
"SEAR",2023-05-28,110
"SEAR",2023-06-04,128
"SEAR",2023-06-11,133
"SEAR",2023-06-18,95
"SEAR",2023-06-25,109
"SEAR",2023-07-02,201
"SEAR",2023-07-09,283
"SEAR",2023-07-16,327
"SEAR",2023-07-23,289
"SEAR",2023-07-30,362
"SEAR",2023-08-06,471
"SEAR",2023-08-13,412
"SEAR",2023-08-20,486
"SEAR",2023-08-27,515
"SEAR",2023-09-03,463
"SEAR",2023-09-10,408
"SEAR",2023-09-17,437
"SEAR",2023-09-24,473
"SEAR",2023-10-01,465
"SEAR",2023-10-08,416
"SEAR",2023-10-15,323
"SEAR",2023-10-22,195
"SEAR",2023-10-29,199
"SEAR",2023-11-05,187
"SEAR",2023-11-12,152
"SEAR",2023-11-19,180
"SEAR",2023-11-26,148
"SEAR",2023-12-03,159
"SEAR",2023-12-10,155
"SEAR",2023-12-17,122
"SEAR",2023-12-24,166
"SEAR",2023-12-31,166
"SEAR",2024-01-07,264
"SEAR",2024-01-14,238
"SEAR",2024-01-21,225
"SEAR",2024-01-28,178
"SEAR",2024-02-04,95
"SEAR",2024-02-11,93
"WHO_",2023-11-26,1
"WHO_",2023-12-10,1
"WHO_",2023-12-17,4
"WHO_",2023-12-24,3
"WHO_",2023-12-31,2
"WHO_",2024-01-07,2
"WHO_",2024-01-14,10
"WHO_",2024-01-21,10
"WHO_",2024-01-28,8
"WPR",2023-05-07,2285
"WPR",2023-05-14,1534
"WPR",2023-05-21,1344
"WPR",2023-05-28,1373
"WPR",2023-06-04,1337
"WPR",2023-06-11,1338
