"WHOREGION","MMWR_WEEKSTARTDATE","TOT_INF_ALL","TOT_INF_A","TOT_INF_B"
"WPR",2023-05-07,2285,137,137
"WPR",2023-05-14,1534,153,153
"WPR",2023-05-21,1344,170,170
"WPR",2023-05-28,1373,218,218
"WPR",2023-06-04,1337,246,246
"WPR",2023-06-11,1338,239,239
"WPR",2023-06-18,1409,240,240
"WPR",2023-06-25,1583,334,334
"WPR",2023-07-02,1913,446,446
"WPR",2023-07-09,1575,326,326
"WPR",2023-07-16,1527,246,246
"WPR",2023-07-23,1617,260,260
"WPR",2023-07-30,1576,245,245
"WPR",2023-08-06,1626,250,250
"WPR",2023-08-13,1645,238,238
"WPR",2023-08-20,1835,278,278
"WPR",2023-08-27,1713,250,250
"WPR",2023-09-03,2224,275,275
"WPR",2023-09-10,2253,280,280
"WPR",2023-09-17,2633,323,323
"WPR",2023-09-24,2752,315,315
"WPR",2023-10-01,2538,320,320
"WPR",2023-10-08,3111,380,380
"WPR",2023-10-15,3688,507,507
"WPR",2023-10-22,5026,699,699
"WPR",2023-10-29,6091,862,862
"WPR",2023-11-05,7419,1024,1024
"WPR",2023-11-12,11236,1220,1220
"WPR",2023-11-19,15869,1762,1762
"WPR",2023-11-26,17861,2152,2152
"WPR",2023-12-03,18812,2677,2677
"WPR",2023-12-10,16759,2990,2990
"WPR",2023-12-17,14570,3473,3473
"WPR",2023-12-24,14789,4612,4612
"WPR",2023-12-31,14240,5671,5671
"WPR",2024-01-07,12989,6452,6452
"WPR",2024-01-14,11541,6851,6851
"WPR",2024-01-21,9125,6045,6045
"WPR",2024-01-28,8886,6356,6356
"WPR",2024-02-04,5953,4576,4576
"WPR",2024-02-11,89,5,5
